file,cf,bw
0.npy,8.060000353523595,3.0418933981273155
1.npy,21.176229250339283,3.354393255750357
1.npy,27.3970044350238,3.5765387899917407
1.npy,30.5260815666377,2.205731915138555
10.npy,17.26062528698264,3.2052197815903956
10.npy,23.31088299309806,3.431863454848934
10.npy,26.39358552943912,2.2369828922516333
100.npy,15.006961657317573,2.205329918470001
100.npy,23.22492051601164,3.546713070498467
100.npy,49.18352498592723,7.647552987901985
101.npy,13.574279059782825,1.9974260637600958
101.npy,16.38234754737689,2.6389926013657314
101.npy,23.012858675009586,3.2350366031649043
101.npy,26.273924338095217,2.2735077047238477
102.npy,11.374812106069948,2.596807805600861
102.npy,16.926991502312443,3.2993580118029255
102.npy,19.761793927379287,2.251260510120382
103.npy,10.559912140238907,3.176115170614633
103.npy,22.390071515280493,2.037254256434487
103.npy,26.200336612431,3.2796938192077967
103.npy,29.87077681953776,2.3077671409841356
104.npy,8.014619010502313,2.9954250320750666
104.npy,43.69696965268167,4.053203771631271
105.npy,12.924925280402865,3.472299359526881
105.npy,25.952728328898733,2.306299363190099
105.npy,29.30446281492939,2.7251936547299085
106.npy,7.535007256910102,2.607062558733353
106.npy,18.577439778649318,2.057791664712206
106.npy,20.970209651688887,2.516528507683051
106.npy,23.86897776121776,2.5392660242957197
107.npy,20.776473959676334,2.0945968520176654
107.npy,23.724406124511972,2.8047204548079865
107.npy,26.7024964970865,2.124532901266965
107.npy,46.2286208987464,0.6147537583606985
108.npy,10.629433835392538,2.4738811787796027
108.npy,13.38067515750941,2.400553153815047
108.npy,46.21213422596992,13.808066736768403
109.npy,23.453867799377374,2.8984336470672565
109.npy,28.378862958560102,2.819618214626928
109.npy,48.47349439693544,6.323595987545274
110.npy,27.938989142221853,3.522627001195458
111.npy,10.972539314262223,3.024371928005246
111.npy,22.249971763460923,2.079788769998964
111.npy,26.061437761155926,3.332597665561959
111.npy,29.837989986260673,2.391752927496169
112.npy,19.14612725413388,3.3272093069310604
112.npy,27.20721856991245,2.784489953239263
112.npy,30.24186533000262,2.021509748949691
113.npy,7.5986342977645664,0.7314848117287164
113.npy,15.881003031462528,2.531470761730072
113.npy,23.251673172090694,2.977986935268046
113.npy,26.18925310853504,1.8658498294074917
113.npy,47.04840576538629,6.8105390133844335
115.npy,15.897348395333358,2.335578848609984
115.npy,24.083955277096248,2.0280066778810437
115.npy,27.153944407254738,2.5767881157954724
116.npy,13.24941979726056,2.2556251605198363
116.npy,17.357158841430902,3.533683959327776
116.npy,21.253865823301755,2.412185794250192
116.npy,49.52718217313295,10.247130699823474
117.npy,6.2375516168168765,2.7884323897675665
118.npy,9.111104335901999,2.989635632107609
118.npy,20.077797518201603,2.2322497853533974
118.npy,23.2050283993879,2.550302887854291
118.npy,50.52497680114265,8.983390360713264
12.npy,17.469308468866885,2.5654485728295104
12.npy,28.141376309723974,3.280423555176876
12.npy,48.48093892134055,5.932966915099102
120.npy,7.04873900053855,1.3478569813168846
120.npy,14.493799054558187,1.3964440277607035
120.npy,16.790659771869638,2.274499022672739
120.npy,20.26468275601635,2.646206359772072
120.npy,27.187120032311626,3.0410999982399436
120.npy,30.306534218597164,2.0008102797857883
121.npy,13.823136787622307,3.413002067249589
122.npy,7.314067150700402,1.9622352279767918
122.npy,16.535786967113403,2.0065409776490326
122.npy,20.239116930119806,3.1691692802194167
122.npy,23.69954597794794,2.2540973619735247
122.npy,49.49197626740833,8.249769910296259
123.npy,17.283333025555763,2.854362211155546
123.npy,23.023147377965138,3.382905933610696
123.npy,26.119917857612684,2.2321128744510927
124.npy,10.896748539146328,1.788669628768751
124.npy,18.821134544821184,2.9973890929173086
124.npy,22.701308938463505,2.45200994407916
124.npy,48.86593517829192,8.887333305587225
13.npy,16.72966928323409,2.8229039318238214
13.npy,26.21510054151356,2.9497444748012076
13.npy,48.260939114086355,7.102876459485157
14.npy,11.82643972243271,3.256024633084382
15.npy,15.86479299373538,2.6604591297018794
15.npy,23.529211272639277,1.8133938954538882
15.npy,26.672223809495367,2.853292513112165
15.npy,30.12234561842396,2.228434202693285
16.npy,24.61927791833069,2.0509079020755756
16.npy,27.600521847154344,2.8674404306209462
16.npy,30.71333591903829,2.2386503029858207
17.npy,14.856099645611875,3.2106128171211195
17.npy,26.108308970104254,3.2378108507014756
17.npy,50.65845612933918,7.9315911665952195
18.npy,14.279090745663703,2.4634724989653614
18.npy,17.346482165124655,2.4714093752118678
18.npy,47.58969116318436,1.0303201668677509
19.npy,16.742358840089228,2.332566655149558
19.npy,27.38605532379815,3.6666445802247307
2.npy,8.618551548944886,2.1815668428705757
2.npy,12.336921436234038,3.154436362685562
2.npy,15.493084843007649,2.3347305481894343
20.npy,15.496397921719163,2.3755760207229386
20.npy,24.00233447170904,3.0518797261253536
20.npy,48.814089785067154,7.6316287557922315
21.npy,19.0341800690829,3.769517669140467
22.npy,17.822001745129505,2.4509429495464325
22.npy,21.027476980065206,2.8622712565325945
23.npy,9.826949781329382,2.3071042084687243
23.npy,17.84957421427825,3.258746589765287
24.npy,13.428325642876146,1.9809860756403674
24.npy,16.50278514218534,2.962160026289221
24.npy,19.815334608513236,2.354578163182358
24.npy,53.89119612186943,14.17568944779841
25.npy,15.022033872489736,4.558064335172031
25.npy,22.19147822708286,2.9668066232494876
25.npy,48.72515933644976,8.684454984941729
26.npy,14.738628141154626,2.8184129582940796
26.npy,17.791356014543226,2.3278221606234966
26.npy,41.83481241261613,0.953951439144511
26.npy,46.67894043946059,2.174198443549641
27.npy,12.923474186326102,1.3082686692282968
27.npy,15.417061879905193,3.062766911834626
27.npy,18.313820590323136,2.089385643784963
28.npy,8.588874221741717,1.9819854934291807
28.npy,22.814608848985333,0.7401181813194277
28.npy,30.598685380720692,11.539123734515226
29.npy,10.83143447481128,2.0279216433241833
29.npy,21.205907318639397,2.165794701127773
29.npy,25.96753789012302,3.6140404365734895
29.npy,29.694910232437117,2.3305285907540707
3.npy,6.765720986858774,1.1739070480219194
3.npy,18.4711664573534,2.679575074413222
3.npy,23.62791777574439,4.03211895935909
3.npy,27.689364007212077,2.750430303599622
30.npy,23.321660941671635,3.480460743299204
30.npy,28.19281484557721,3.191375074526728
31.npy,13.034688122146003,2.679211422628578
31.npy,18.304366028380937,4.339343840718136
31.npy,23.04577420789237,2.8344232919388386
33.npy,22.80710241438476,2.13977539562673
33.npy,25.76641864215737,2.82219177411366
33.npy,28.770916352415714,2.134438213482729
34.npy,12.842542728237145,2.150782731803663
34.npy,21.10449834667877,1.8754620394179116
34.npy,24.800968527058725,2.924084465425529
34.npy,27.918576980366655,1.8639537194163207
35.npy,17.2053671746331,2.163865059452802
35.npy,20.172999480389745,2.748597942102532
35.npy,22.97135024692808,1.9174151295462147
35.npy,45.340603436676936,3.0752227202757427
36.npy,11.77703230106174,2.46009193142112
36.npy,19.853599192592903,3.318941197198071
36.npy,48.79918089765473,9.335899235875647
37.npy,16.442445587083135,2.630284388514756
37.npy,20.840388473415743,4.138936446105124
37.npy,27.74781702208378,3.250068057354322
37.npy,30.72883431587789,2.0638825628975903
38.npy,8.07919168379383,1.8349904870354563
38.npy,17.514725511693637,1.54508547941595
38.npy,19.89707139578758,2.59650747961544
38.npy,26.075468791364017,3.8060106574706727
38.npy,29.924436310297526,2.3811887726550647
39.npy,13.434769427300402,1.897438118415913
39.npy,16.22067169544944,2.727086125719334
39.npy,23.067323565149355,3.2664175833860987
39.npy,26.31641722006039,2.1728370384396123
4.npy,13.907783350150892,2.437680877859557
4.npy,22.071162412924593,2.1089399366793273
4.npy,25.17563176290082,2.557607111565798
40.npy,7.904692503790802,1.8004618471614926
40.npy,17.803600351457497,1.8144891930433615
40.npy,20.734903085176835,2.8707082885533635
40.npy,25.315370594689096,3.0687683524440788
40.npy,28.388848121584164,2.0707854757174013
41.npy,7.81774767819853,1.6179010255976851
41.npy,17.805724224855574,3.0033378620306794
41.npy,25.233477125604857,3.175426603913869
41.npy,28.375705395938954,2.006943200144694
42.npy,19.291424620267765,2.341371784057141
42.npy,22.253012064953122,2.609660562151024
42.npy,24.899117065416434,1.8938106731429498
43.npy,7.936524049857839,2.046879391810116
43.npy,16.411121825742978,2.2394529339644413
43.npy,19.37790910626517,2.269514436239508
43.npy,48.07249098012404,9.36911774681074
44.npy,13.814094323622449,2.1121415044379823
44.npy,21.98410052994301,3.1830256033039492
44.npy,48.4457332942132,8.60695768790422
45.npy,14.62947971721483,2.646707947781202
45.npy,18.82381394472405,3.1620286492883616
45.npy,21.98928395004276,2.184994775354309
47.npy,9.772160097085406,2.401334855447115
47.npy,17.101190547498152,2.7459551015472683
47.npy,19.931709076364367,1.8540831626190823
48.npy,9.203186684134081,2.9665035470477163
48.npy,20.055925667584013,2.160133218040126
48.npy,23.148363610765088,2.5892496380472454
48.npy,46.97747366473805,7.404627433446145
49.npy,12.232779089987835,2.597182233798353
49.npy,17.383594774853606,3.6514930659303544
49.npy,21.173314615104864,2.2883544081824403
5.npy,12.79747839719655,3.520436711181105
5.npy,24.032381175446684,2.035883091140359
5.npy,27.129974892089823,2.6472918597434534
50.npy,5.2897248878839065,0.8378226877336121
50.npy,24.57859536332692,1.8662205791774473
50.npy,27.662604484178622,3.36572622783784
50.npy,30.842138264090558,2.014152331671507
50.npy,41.295273284289806,2.9971864655646203
53.npy,7.964555013720445,1.9222712042833472
53.npy,15.857711797025237,3.1508207858244472
54.npy,13.68752996291115,2.9157677740828505
54.npy,25.97373443400101,2.3351313139494603
54.npy,29.33405131275796,2.7100319164715496
55.npy,9.910372708490222,2.0081552481824376
55.npy,12.800309467838877,2.7655668491036804
55.npy,15.783616240494567,2.146949373251481
56.npy,7.997949607755261,3.0748499773118003
57.npy,11.799209972104048,2.712822981658765
57.npy,23.355295036657953,1.9779829853944086
57.npy,26.64348738870841,3.0108494084837134
57.npy,30.191083760218767,2.3265590999170485
59.npy,15.448267077358853,2.7661746017662874
59.npy,27.243240618915614,4.040063577508065
6.npy,13.340153981259945,1.523203805257693
6.npy,21.954562089551537,2.5482516905757207
6.npy,28.08610645822759,3.3401194853498968
60.npy,16.222029521296292,2.558382223722837
60.npy,19.379350556764283,2.551278096066871
61.npy,8.596062606472122,2.3119183530262966
61.npy,16.919382702836195,1.9035796964289298
61.npy,20.58608948129348,2.9779222014684628
61.npy,23.76143200401503,1.971405188816374
62.npy,17.447915233758764,2.5793100904411985
62.npy,28.117473741745645,3.2562564074516582
63.npy,14.849944492542294,3.274012986228274
63.npy,24.064554691272296,3.136403558850088
64.npy,6.661460024343424,1.1379450803550903
64.npy,19.16510935273867,3.097265082667043
64.npy,25.14355287239613,3.5589836258490863
64.npy,28.3197785150074,2.34123876214966
65.npy,19.557656666542673,6.2302042819674845
65.npy,48.1504176422958,8.363520268899967
66.npy,18.15849292508583,6.913280710346735
66.npy,48.21587674724782,8.217162061123979
67.npy,9.88094435932971,3.225408524870055
68.npy,25.835990677855442,2.6808442220302235
68.npy,29.392496309289267,2.960962942023072
69.npy,13.820005573737454,1.9927757549179195
69.npy,22.47453313805436,2.050090518828541
69.npy,26.309275336754837,3.254283833487237
69.npy,29.905527041622936,2.243330574673989
7.npy,17.192918249008613,3.0508067643296193
7.npy,24.052660914727053,3.1670437542918086
70.npy,7.990802035197365,3.008361394722228
71.npy,20.99334277681995,2.215403284561087
71.npy,23.963262085126445,2.841321532010608
71.npy,26.84314532275101,2.1117311838303747
72.npy,7.183741087419072,2.138786424074726
72.npy,10.957296620017502,2.8720176897174463
72.npy,13.804674832990194,2.0380216327549183
72.npy,35.29723070261732,4.446604028684222
72.npy,42.38570938920346,1.970143886567974
72.npy,47.207842454318985,1.1307761491409463
73.npy,10.140352306605788,2.303383578112867
73.npy,29.066949280326924,7.8461110481955245
73.npy,40.03078310296983,2.3235509057830774
74.npy,7.884349007434929,1.9434351578522093
74.npy,18.206845937725195,2.117362421852972
74.npy,21.908435360111636,3.3228691928665723
74.npy,25.727399927559862,2.391573764353212
75.npy,18.622859244983182,1.9159224084839952
75.npy,21.505831581935407,2.732028411959021
75.npy,24.509351442403958,2.1550139836914677
76.npy,15.696295242919952,2.292366868590983
76.npy,23.90787560655619,1.6662218407672704
76.npy,26.88377540588447,2.6594669423751283
76.npy,30.1357209667706,2.0247993470379533
77.npy,17.876091391657575,2.130678786571452
77.npy,26.078488406552736,3.2559460553006017
78.npy,11.10498674310521,2.2066993818579452
78.npy,20.61191618507086,1.9915016058402872
78.npy,24.17983956441437,3.154067832323676
78.npy,27.80495346235743,2.1977682027721475
79.npy,8.056313905502519,2.492970071831363
79.npy,12.195457773907068,3.1726477602696024
79.npy,15.339043961944538,2.2112747847804317
79.npy,49.44931585316389,12.851228221592573
79.npy,41.276202680675915,0.04654033102722249
8.npy,8.721013510813139,2.5986235070494472
8.npy,12.284137142323369,2.286296709230426
8.npy,23.390575792072013,1.8986233135395179
8.npy,26.665758020147237,2.968526956536256
8.npy,30.18508678753013,2.238687826154695
80.npy,16.07799393675747,3.7893842471899886
80.npy,28.17537797476332,3.2166827665386917
81.npy,11.797883666335235,2.377928541470197
81.npy,17.139861165584133,3.7893680470145834
81.npy,21.01611631077882,2.360636052044048
82.npy,15.679285292236477,2.3399156472118006
82.npy,18.95447624683046,3.0367605026126636
82.npy,22.158305863295794,2.2381194217287073
83.npy,11.41707582114303,1.3465365763039114
83.npy,19.362087622396775,2.1222623923963337
83.npy,23.112149583226685,3.4027533368116147
83.npy,27.219064694186795,2.4245124358901657
83.npy,49.730841927804306,6.711934553068861
84.npy,13.033823474208845,2.4811718722283485
84.npy,17.93356526591842,3.4995737214495555
84.npy,21.44777375939817,2.2716603146727414
85.npy,14.115182804878453,3.6397808836431023
85.npy,24.14397834109695,2.944454397032764
85.npy,47.979930888749784,7.709611084148034
86.npy,13.043554081860874,2.9324554386206163
86.npy,22.01598322066859,3.047679744037863
86.npy,48.645322375740626,8.576247295582416
87.npy,13.632167412570812,1.7290880193293163
87.npy,23.19551178252025,3.7760194364410773
87.npy,48.209952895104415,7.677467804451014
88.npy,6.418112736566185,2.179119719181769
88.npy,17.80536779493183,2.331297948329361
88.npy,20.991529913621,2.8324062403338446
89.npy,11.058208134861882,2.928925890743236
89.npy,19.95315016529876,3.0696407612476495
89.npy,47.81253829968771,8.809272263872566
9.npy,20.119282122357042,2.626750463060134
9.npy,23.447471563888342,2.645903465228586
90.npy,21.26927605330987,6.164087729509955
90.npy,28.465078963457835,3.7577498432367116
91.npy,16.091619734697606,2.457437622317885
91.npy,20.0363669800834,3.5150334882428322
91.npy,23.697438490233047,2.6138664018882363
92.npy,9.566221385719206,2.402109743704153
92.npy,13.657852708244787,3.409652663186676
92.npy,17.279697858661148,2.289433450676824
93.npy,14.404503670696068,2.5781289645251975
93.npy,19.49398068700335,3.6333275079479597
93.npy,23.252726822556,2.2747842475700857
93.npy,48.327248898526165,8.4702835589174
94.npy,7.9203461167815155,1.8022271668659828
94.npy,14.2241363516318,3.266282114398757
94.npy,17.331668216240995,1.9828542679296173
95.npy,10.851822289971782,2.8986137512305636
95.npy,22.00311196295543,3.2208322674075123
96.npy,13.5766971117274,1.9892910147192562
96.npy,16.356608017655383,2.624987132291944
96.npy,22.95767305230342,3.219738095605037
96.npy,26.191116885100094,2.3087412401577643
97.npy,23.28425446464959,3.254597954488515
97.npy,28.44326322815325,2.861625250182869
98.npy,8.279026664607489,2.5559408780067585
98.npy,12.57714102068132,3.0565198553603024
98.npy,15.51610735249193,2.103695629557452
99.npy,11.75238651603251,2.351943996127487
99.npy,22.212682219947823,2.189791137373694
99.npy,26.154136149996926,3.4074868927752227
99.npy,29.92019328786026,2.378030816569558
